Qual a especialidade de Thor?,ORTHORpedista.,2017-09-02 06:07:15.576 +00:00,2017-09-02 06:07:15.576 +00:00
Qual é a luta dos Gaúchos?,KaraTCHÊ.,2017-09-02 06:07:15.577 +00:00,2017-09-02 06:07:15.577 +00:00
Qual é o carro movido a suco?,MusTANG,2017-09-02 06:07:15.577 +00:00,2017-09-02 06:07:15.577 +00:00
Qual é a roupa preferido do macaco?,Macacão.,2017-09-02 06:07:15.577 +00:00,2017-09-02 06:07:15.577 +00:00
Qual é o fenômeno da Natureza que o Thor tem medo?,Thornado.,2017-09-02 06:07:15.577 +00:00,2017-09-02 06:07:15.577 +00:00
Qual a cantora que mais gosta de rir?,Ri-hanna.,2017-09-02 06:07:15.577 +00:00,2017-09-02 06:07:15.577 +00:00
Qual a parte do corpo do Thor que ele mais gosta?,THORax.,2017-09-02 06:07:15.578 +00:00,2017-09-02 06:07:15.578 +00:00
Qual a cantora gosta muito de tomar chá?,Chá-quira.,2017-09-02 06:07:15.578 +00:00,2017-09-02 06:07:15.578 +00:00
Qual é o fruto preferido do Thor?,Thormate.,2017-09-02 06:07:15.578 +00:00,2017-09-02 06:07:15.578 +00:00
Quando foi a primeira vez que os povos da América comeram carne?,Quando chegou Cristóvão Com-lombo.,2017-09-02 06:07:15.579 +00:00,2017-09-02 06:07:15.579 +00:00
Qual é a parte do banheiro que o Thor mais gosta?,Da Thorneira.,2017-09-02 06:07:15.579 +00:00,2017-09-02 06:07:15.579 +00:00
Qual é o país preferido no Natal?,Peru.,2017-09-02 06:07:15.579 +00:00,2017-09-02 06:07:15.579 +00:00
Qual é a tinta que quer ser uma cobra?,Coral.,2017-09-02 06:07:15.579 +00:00,2017-09-02 06:07:15.579 +00:00
Qual é a cidade preferida do Thor?,Thórquio.,2017-09-02 06:07:15.580 +00:00,2017-09-02 06:07:15.580 +00:00
O que o pastel falou para o outro pastel?,Estamos fritos.,2017-09-02 06:07:15.580 +00:00,2017-09-02 06:07:15.580 +00:00
"O que nasce uma vez, nasce duas vezes, mas na terceira não nasce mais?",Dente.,2017-09-02 06:07:15.580 +00:00,2017-09-02 06:07:15.580 +00:00
O que o aluno fala para a professora e gosta de receber dos pais?,Presente.,2017-09-02 06:07:15.580 +00:00,2017-09-02 06:07:15.580 +00:00
O que acontece se um ciclista entrar em campo?,Ele faz um gol de bicicleta.,2017-09-02 06:07:15.580 +00:00,2017-09-02 06:07:15.580 +00:00
Qual é o estado preferido do Thor?,THORcantins.,2017-09-02 06:07:15.580 +00:00,2017-09-02 06:07:15.580 +00:00
"Nunca para frente, sempre para trás, para crianças sou muito devagar, para adultos fui rápido demais. O que sou?",Infância.,2017-09-02 06:07:15.580 +00:00,2017-09-02 06:07:15.580 +00:00
"Nos vire ao avesso, e abra nossas vísceras, você será o mais sábio dos homens, mas, sem nós, será um idiota. O que sou?",Livro.,2017-09-02 06:07:15.581 +00:00,2017-09-02 06:07:15.581 +00:00
"De mim, surge vida, para mim, a vida retorna. Homens brigam pela minha posse, mas nenhum deles é meu dono. Água me cerca, mas ao redor dela eu vivo. Quem sou eu, meu amigo?",Terra.,2017-09-02 06:07:15.581 +00:00,2017-09-02 06:07:15.581 +00:00
"Assisti ao nascimento de reis e rainhas, meus pés vão mais fundo e minha cabeça mais alto do que tudo que o homem cria. Muitos buscam algo no interior do meu coração, mas, amor, não é algo que encontrarão, como vocês me chamarão?",Montanha.,2017-09-02 06:07:15.581 +00:00,2017-09-02 06:07:15.581 +00:00
Qual é estado que gosta de cavar buracos?,Ama-pá.,2017-09-02 06:07:15.581 +00:00,2017-09-02 06:07:15.581 +00:00
Qual é o estado que gosta de bagunça?,Ama-zonas.,2017-09-02 06:07:15.581 +00:00,2017-09-02 06:07:15.581 +00:00
Qual é a cor preferida da tomada?,Rosa-choque.,2017-09-02 06:07:15.581 +00:00,2017-09-02 06:07:15.581 +00:00
Qual o tipo de panela que está sempre triste?,Panela depressão.,2017-09-02 06:07:15.582 +00:00,2017-09-02 06:07:15.582 +00:00
